,,,,,,,School,,,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,,,,
G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,2021-11-09,,Quinnipiac,W,83,69,31,63,0.492,6,17,0.353,15,23,0.652,13,43,17,6,5,12,13,,23,56,0.411,11,30,0.367,12,23,0.522,4,26,13,11,0,12,20
2,2021-11-11,,George Washington,W,71,64,24,64,0.375,3,20,0.15,20,29,0.69,16,46,11,9,6,13,10,,27,66,0.409,4,17,0.235,6,8,0.75,9,34,9,6,6,13,22
3,2021-11-13,,Vermont,W,68,57,22,60,0.367,6,27,0.222,18,23,0.783,13,44,14,5,6,7,16,,21,60,0.35,7,22,0.318,8,11,0.727,7,29,9,4,1,7,21
4,2021-11-17,,George Mason,L,66,71,25,55,0.455,9,28,0.321,7,13,0.538,6,27,16,6,4,10,13,,26,58,0.448,12,24,0.5,7,8,0.875,9,29,13,6,4,12,16
5,2021-11-19,,Hofstra,W,69,67,25,60,0.417,5,22,0.227,14,18,0.778,11,41,15,3,4,16,16,,24,56,0.429,12,32,0.375,7,8,0.875,1,25,14,6,3,13,16
6,2021-11-25,N,Richmond,W,86,80,28,57,0.491,10,23,0.435,20,25,0.8,6,36,17,8,5,14,13,,30,65,0.462,8,22,0.364,12,20,0.6,5,28,14,7,2,11,18
7,2021-11-27,N,Louisville,L,55,63,20,52,0.385,4,14,0.286,11,17,0.647,2,23,10,6,5,13,20,,21,60,0.35,6,27,0.222,15,19,0.789,14,44,11,9,5,17,22
8,2021-12-01,,Virginia Tech,L,58,62,23,55,0.418,1,13,0.077,11,11,1,8,37,6,4,7,13,12,,23,60,0.383,9,20,0.45,7,12,0.583,9,29,15,6,4,8,15
9,2021-12-05,,Northwestern,L,61,67,17,59,0.288,10,23,0.435,17,22,0.773,7,38,12,5,2,14,16,,27,63,0.429,6,18,0.333,7,9,0.778,4,40,13,6,2,11,21
10,2021-12-12,N,Florida,W,70,68,24,49,0.49,8,13,0.615,14,18,0.778,8,28,9,7,4,14,15,,22,58,0.379,11,27,0.407,13,17,0.765,13,30,14,7,6,12,20
11,2021-12-28,,Lehigh,W,76,55,24,57,0.421,5,19,0.263,23,26,0.885,14,44,11,10,5,14,14,,19,59,0.322,5,22,0.227,12,13,0.923,6,26,8,6,1,11,20
