Player,#,Class,Pos,Height,Summary
Shyanne Sellers,0,JR,G,6-2,25.0 Pts 4.0 Reb 7.0 Ast
Brinae Alexander,5,SR,G-F,6-0,15.0 Pts 4.0 Reb 0.0 Ast
Jakia Brown-Turner,11,SR,F,6-0,11.0 Pts 5.0 Reb 1.0 Ast
Emma Chardon,21,JR,F,6-2,10.0 Pts 1.0 Reb 1.0 Ast
Bri McDaniel,24,SO,G,5-10,9.0 Pts 4.0 Reb 2.0 Ast
Allie Kubek,14,JR,F,6-2,8.0 Pts 4.0 Reb 0.0 Ast
Lavender Briggs,3,SR,G,6-1,7.0 Pts 8.0 Reb 4.0 Ast
Faith Masonius,13,SR,G-F,6-1,6.0 Pts 4.0 Reb 5.0 Ast
Summer Bostock,33,FR,G,6-1,
Hawa Doumbouya,20,FR,C,6-5,
Emily Fisher,34,FR,G,6-0,
Riley Nelson,2,FR,G,6-1,
Zen Nuako,15,FR,G,5-5,
Mary Sareen,30,FR,G,5-8,
